1,2,Visakhapatnam,2025-07-04 12:45:39+05:30
2,2,Vijayawada,2025-07-04 12:45:39+05:30
3,2,Guntur,2025-07-04 12:45:39+05:30
4,2,Nellore,2025-07-04 12:45:39+05:30
5,2,Kurnool,2025-07-04 12:45:39+05:30
6,2,Rajahmundry,2025-07-04 12:45:39+05:30
7,2,Kakinada,2025-07-04 12:45:39+05:30
8,2,Tirupati,2025-07-04 12:45:39+05:30
9,2,Anantapur,2025-07-04 12:45:39+05:30
10,2,Kadapa,2025-07-04 12:45:39+05:30
11,2,Vizianagaram,2025-07-04 12:45:39+05:30
12,2,Eluru,2025-07-04 12:45:39+05:30
13,2,Ongole,2025-07-04 12:45:39+05:30
14,2,Nandyal,2025-07-04 12:45:39+05:30
15,2,Machilipatnam,2025-07-04 12:45:39+05:30
16,2,Adoni,2025-07-04 12:45:39+05:30
17,2,Tenali,2025-07-04 12:45:39+05:30
18,2,Chittoor,2025-07-04 12:45:39+05:30
19,2,Hindupur,2025-07-04 12:45:39+05:30
20,2,Proddatur,2025-07-04 12:45:39+05:30
21,2,Bhimavaram,2025-07-04 12:45:39+05:30
22,2,Madanapalle,2025-07-04 12:45:39+05:30
23,2,Guntakal,2025-07-04 12:45:40+05:30
24,2,Dharmavaram,2025-07-04 12:45:40+05:30
25,2,Gudivada,2025-07-04 12:45:40+05:30
26,2,Srikakulam,2025-07-04 12:45:40+05:30
27,2,Narasaraopet,2025-07-04 12:45:40+05:30
28,2,Rajampet,2025-07-04 12:45:40+05:30
29,2,Tadpatri,2025-07-04 12:45:40+05:30
30,2,Tadepalligudem,2025-07-04 12:45:40+05:30
31,2,Chilakaluripet,2025-07-04 12:45:40+05:30
32,2,Yemmiganur,2025-07-04 12:45:40+05:30
33,2,Kadiri,2025-07-04 12:45:40+05:30
34,2,Chirala,2025-07-04 12:45:40+05:30
35,2,Anakapalle,2025-07-04 12:45:40+05:30
36,2,Kavali,2025-07-04 12:45:40+05:30
37,2,Palacole,2025-07-04 12:45:40+05:30
38,2,Sullurpeta,2025-07-04 12:45:40+05:30
39,2,Tanuku,2025-07-04 12:45:40+05:30
40,2,Rayachoti,2025-07-04 12:45:40+05:30
41,2,Srikalahasti,2025-07-04 12:45:40+05:30
42,2,Bapatla,2025-07-04 12:45:40+05:30
43,2,Naidupet,2025-07-04 12:45:40+05:30
44,2,Nagari,2025-07-04 12:45:40+05:30
45,2,Gudur,2025-07-04 12:45:40+05:30
46,2,Vinukonda,2025-07-04 12:45:40+05:30
47,2,Narasapuram,2025-07-04 12:45:40+05:30
48,2,Nuzvid,2025-07-04 12:45:40+05:30
49,2,Markapur,2025-07-04 12:45:40+05:30
50,2,Ponnur,2025-07-04 12:45:40+05:30
51,2,Kandukur,2025-07-04 12:45:40+05:30
52,2,Bobbili,2025-07-04 12:45:40+05:30
53,2,Rayadurg,2025-07-04 12:45:40+05:30
54,2,Samalkot,2025-07-04 12:45:40+05:30
55,2,Jaggaiahpet,2025-07-04 12:45:40+05:30
56,2,Tuni,2025-07-04 12:45:40+05:30
57,2,Amalapuram,2025-07-04 12:45:40+05:30
58,2,Bheemunipatnam,2025-07-04 12:45:40+05:30
59,2,Venkatagiri,2025-07-04 12:45:40+05:30
